Year,Month,Palestinians Injuries,Israelis Injuries,Palestinians Killed,Israelis Killed
2018,OCTOBER,,,32,2
2018,SEPTEMBER,,,25,1
2018,AUGUST,,,16,0
2018,JULY,,,24,2
2018,JUNE,,,18,0
2018,MAY,,,66,1
2018,APRIL,,,34,0
2018,MARCH,,,20,3
2018,FEBRUARY,,,9,1
2018,JANUARY,,,7,1
2019,DECEMBER,,,1,0
2019,NOVEMBER,,,43,0
2019,OCTOBER,,,3,0
2019,SEPTEMBER,,,5,1
2019,AUGUST,,,11,2
2019,JULY,,,4,1
2019,JUNE,,,3,0
2019,MAY ,,,33,4
2019,APRIL,,,8,0
2019,MARCH,,,21,2
2019,FEBRUARY,,,8,1
2019,JANUARY,,,9,0
2020,DECEMBER,,,2,1
2020,NOVEMBER,,,2,0
2020,OCTOBER,,,2,0
2020,SEPTEMBER,,,1,0
2020,AUGUST,,,3,1
2020,JULY,,,1,0
2020,JUNE,,,1,0
2020,MAY ,,,4,1
2020,APRIL,,,1,0
2020,MARCH,,,2,0
2020,FEBRUARY,,,9,0
2020,JANUARY,,,6,0
2021,JANUARY,,,4,0
2021,FEBRUARY,,,1,0
2021,MARCH,,,4,0
2021,APRIL,,,1,0
2021,MAY,,,26,3
,,,,,
,,"111,475","5,160","10,000","1,275"
